X,Y,GID,Extern ID,Straat,Plaats,Categorie,Subcategori,Status,Uitv.datum,Uitv.tijd,Verw.tijd
6.33753658462175,52.1772090552585,15690,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.34916409350413,52.1817096369827,15691,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.21511251434569,52.1818812285891,15692,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.21423233238443,52.1825381374441,15693,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.21411975656509,52.1826382313031,15694,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.18295484254703,52.2351471103205,15695,,,,Watergeven 2026,,niet verwerkt,,,0
6.1354112749164,52.2162734976376,15696,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.13556147862138,52.2162948610889,15697,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.13612742472406,52.2164049648674,15698,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12517659329078,52.2410153902467,15699,,ACHTER 'T HOLTHUIS,,Watergeven 2026,,niet verwerkt,,,0
6.12490326104458,52.2410552803262,15700,,ACHTER 'T HOLTHUIS,,Watergeven 2026,,niet verwerkt,,,0
6.13957671167273,52.1751023650018,15701,,BEEKZICHTWEG,,Watergeven 2026,,niet verwerkt,,,0
6.14130918550001,52.1754647077056,15702,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.14403494680002,52.1612169630847,15703,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.14048230316374,52.1770586819604,15704,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.13621550131743,52.1637801212907,15705,,HOUTWIJKERWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1361856552538,52.163842529716,15706,,HOUTWIJKERWEG,,Watergeven 2026,,niet verwerkt,,,0
6.13616202608478,52.1639184532813,15707,,HOUTWIJKERWEG,,Watergeven 2026,,niet verwerkt,,,0
6.13615321455828,52.1639828328904,15708,,HOUTWIJKERWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1412838773658,52.175096070512,15709,,,,Watergeven 2026,,niet verwerkt,,,0
6.14354958817839,52.1610208575527,15710,,,,Watergeven 2026,,niet verwerkt,,,0
